,Data 1: Weekly Working Gas in Underground Storage,,,,,,,
Sourcekey,NW2_EPG0_SWO_R48_BCF,NW2_EPG0_SWO_R31_BCF,NW2_EPG0_SWO_R32_BCF,NW2_EPG0_SWO_R34_BCF,NW2_EPG0_SWO_R35_BCF,NW2_EPG0_SWO_R33_BCF,NW2_EPG0_SSO_R33_BCF,NW2_EPG0_SNO_R33_BCF
Date,Weekly Lower 48 States Natural Gas Working Underground Storage (Billion Cubic Feet),Weekly East Region Natural Gas Working Underground Storage (Billion Cubic Feet),Weekly Midwest Region Natural Gas Working Underground Storage (Billion Cubic Feet),Weekly Mountain Region Natural Gas Working Underground Storage (Billion Cubic Feet),Weekly Pacific Region Natural Gas Working Underground Storage (Billion Cubic Feet),Weekly South Central  Region Natural Gas Working Underground Storage (Billion Cubic Feet),Weekly Salt South Central Region Natural Gas Working Underground Storage (Billion Cubic Feet),Weekly Nonsalt South Central Region Natural Gas Working Underground Storage (Billion Cubic Feet)
1-Jan-10,3117,769,900,195,268,985,159,826
8-Jan-10,2850,703,820,185,257,886,123,763
15-Jan-10,2607,642,750,176,246,793,91,702
22-Jan-10,2521,616,710,171,235,789,102,687
29-Jan-10,2406,582,661,164,221,779,108,671
5-Feb-10,2214,523,604,157,211,719,95,624
12-Feb-10,2026,471,552,148,197,658,85,573
19-Feb-10,1853,425,502,141,193,592,71,521
26-Feb-10,1738,390,464,133,184,566,70,496
5-Mar-10,1627,349,433,129,182,535,63,472
12-Mar-10,1614,341,422,127,176,548,71,477
19-Mar-10,1626,334,419,126,179,567,80,487
26-Mar-10,1638,336,410,126,185,581,89,492
2-Apr-10,1670,333,410,126,189,612,101,511
9-Apr-10,1754,358,429,126,193,649,112,537
16-Apr-10,1828,376,444,129,199,679,120,559
23-Apr-10,1912,397,462,134,209,710,126,584
30-Apr-10,1994,416,480,138,220,741,133,608
7-May-10,2091,444,506,142,230,770,138,632
14-May-10,2165,463,520,147,241,794,144,650
21-May-10,2268,491,546,154,253,824,149,675
28-May-10,2357,518,567,161,265,846,151,695
4-Jun-10,2456,545,593,165,279,874,158,716
11-Jun-10,2542,571,619,168,288,895,160,735
18-Jun-10,2625,596,645,173,299,912,161,751
25-Jun-10,2684,615,666,178,305,920,158,762
2-Jul-10,2761,638,691,182,311,938,160,778
9-Jul-10,2841,659,715,188,318,962,168,794
16-Jul-10,2893,681,735,192,317,968,163,805
23-Jul-10,2919,698,751,195,314,962,157,805
30-Jul-10,2947,716,766,197,313,955,148,807
6-Aug-10,2984,737,788,199,314,946,144,802
13-Aug-10,3013,758,808,202,314,930,136,794
20-Aug-10,3054,781,833,205,309,925,131,794
27-Aug-10,3105,805,861,209,301,930,133,797
3-Sep-10,3163,814,886,212,303,948,136,812
10-Sep-10,3267,835,919,221,307,984,150,834
17-Sep-10,3341,856,951,223,307,1005,150,855
24-Sep-10,3415,876,979,227,309,1024,153,871
1-Oct-10,3499,896,1011,230,307,1055,162,893
8-Oct-10,3590,912,1039,232,313,1095,168,927
15-Oct-10,3683,930,1071,233,317,1132,182,950
22-Oct-10,3754,940,1096,236,321,1162,189,973
29-Oct-10,3821,955,1120,235,323,1188,193,995
5-Nov-10,3840,950,1124,236,327,1203,199,1004
12-Nov-10,3834,940,1126,236,326,1206,207,999
19-Nov-10,3828,940,1115,234,329,1210,211,999
26-Nov-10,3805,940,1100,227,313,1224,218,1006
3-Dec-10,3717,918,1071,222,298,1208,215,993
10-Dec-10,3553,862,1017,216,293,1165,205,960
